text,category_truth
The oldest leaves on my bean show yellow tissue between green veins even though the soil is evenly moist.,Nutrient Adjustment Needed
My bean is stunted and the lower leaves are developing a dull purple tint; I have not fertilized this bed this season.,Nutrient Adjustment Needed
"Leaf edges on my bean are yellowing and turning brown while the centers stay green, and the stems seem weak.",Nutrient Adjustment Needed
"My strawberry plants have uniformly pale older leaves, starting at the tips, and new growth is much slower than normal.",Nutrient Adjustment Needed
The oldest leaves on my strawberry show yellow tissue between green veins even though the soil is evenly moist.,Nutrient Adjustment Needed
My strawberry is stunted and the lower leaves are developing a dull purple tint; I have not fertilized this bed this season.,Nutrient Adjustment Needed
"Leaf edges on my strawberry are yellowing and turning brown while the centers stay green, and the stems seem weak.",Nutrient Adjustment Needed
"My eggplant plants have uniformly pale older leaves, starting at the tips, and new growth is much slower than normal.",Nutrient Adjustment Needed
The oldest leaves on my eggplant show yellow tissue between green veins even though the soil is evenly moist.,Nutrient Adjustment Needed
My eggplant is stunted and the lower leaves are developing a dull purple tint; I have not fertilized this bed this season.,Nutrient Adjustment Needed
"Leaf edges on my eggplant are yellowing and turning brown while the centers stay green, and the stems seem weak.",Nutrient Adjustment Needed
"New leaves on my tomato are curled and sticky, with clusters of tiny green insects underneath and ants moving between them.",Pest Control Required
My tomato leaves have fine pale stippling and delicate webbing on their undersides; tiny moving specks are visible up close.,Pest Control Required
"Something is chewing irregular holes through my tomato leaves, and I found dark droppings plus a small caterpillar nearby.",Pest Control Required
"Several tomato leaves contain winding white tunnels, and a tiny larva can be seen inside one of the trails.",Pest Control Required
"New leaves on my pepper are curled and sticky, with clusters of tiny green insects underneath and ants moving between them.",Pest Control Required
My pepper leaves have fine pale stippling and delicate webbing on their undersides; tiny moving specks are visible up close.,Pest Control Required
"Something is chewing irregular holes through my pepper leaves, and I found dark droppings plus a small caterpillar nearby.",Pest Control Required
"Several pepper leaves contain winding white tunnels, and a tiny larva can be seen inside one of the trails.",Pest Control Required
"New leaves on my cucumber are curled and sticky, with clusters of tiny green insects underneath and ants moving between them.",Pest Control Required
My cucumber leaves have fine pale stippling and delicate webbing on their undersides; tiny moving specks are visible up close.,Pest Control Required
"Something is chewing irregular holes through my cucumber leaves, and I found dark droppings plus a small caterpillar nearby.",Pest Control Required
"Several cucumber leaves contain winding white tunnels, and a tiny larva can be seen inside one of the trails.",Pest Control Required
"New leaves on my squash are curled and sticky, with clusters of tiny green insects underneath and ants moving between them.",Pest Control Required
My squash leaves have fine pale stippling and delicate webbing on their undersides; tiny moving specks are visible up close.,Pest Control Required
"Something is chewing irregular holes through my squash leaves, and I found dark droppings plus a small caterpillar nearby.",Pest Control Required
"Several squash leaves contain winding white tunnels, and a tiny larva can be seen inside one of the trails.",Pest Control Required
"New leaves on my kale are curled and sticky, with clusters of tiny green insects underneath and ants moving between them.",Pest Control Required
My kale leaves have fine pale stippling and delicate webbing on their undersides; tiny moving specks are visible up close.,Pest Control Required
"Something is chewing irregular holes through my kale leaves, and I found dark droppings plus a small caterpillar nearby.",Pest Control Required
"Several kale leaves contain winding white tunnels, and a tiny larva can be seen inside one of the trails.",Pest Control Required
"New leaves on my broccoli are curled and sticky, with clusters of tiny green insects underneath and ants moving between them.",Pest Control Required
My broccoli leaves have fine pale stippling and delicate webbing on their undersides; tiny moving specks are visible up close.,Pest Control Required
"Something is chewing irregular holes through my broccoli leaves, and I found dark droppings plus a small caterpillar nearby.",Pest Control Required
"Several broccoli leaves contain winding white tunnels, and a tiny larva can be seen inside one of the trails.",Pest Control Required
"New leaves on my lettuce are curled and sticky, with clusters of tiny green insects underneath and ants moving between them.",Pest Control Required
My lettuce leaves have fine pale stippling and delicate webbing on their undersides; tiny moving specks are visible up close.,Pest Control Required
"Something is chewing irregular holes through my lettuce leaves, and I found dark droppings plus a small caterpillar nearby.",Pest Control Required
"Several lettuce leaves contain winding white tunnels, and a tiny larva can be seen inside one of the trails.",Pest Control Required
"New leaves on my bean are curled and sticky, with clusters of tiny green insects underneath and ants moving between them.",Pest Control Required
My bean leaves have fine pale stippling and delicate webbing on their undersides; tiny moving specks are visible up close.,Pest Control Required
"Something is chewing irregular holes through my bean leaves, and I found dark droppings plus a small caterpillar nearby.",Pest Control Required
"Several bean leaves contain winding white tunnels, and a tiny larva can be seen inside one of the trails.",Pest Control Required
"New leaves on my strawberry are curled and sticky, with clusters of tiny green insects underneath and ants moving between them.",Pest Control Required
My strawberry leaves have fine pale stippling and delicate webbing on their undersides; tiny moving specks are visible up close.,Pest Control Required
"Something is chewing irregular holes through my strawberry leaves, and I found dark droppings plus a small caterpillar nearby.",Pest Control Required
"Several strawberry leaves contain winding white tunnels, and a tiny larva can be seen inside one of the trails.",Pest Control Required
"New leaves on my basil are curled and sticky, with clusters of tiny green insects underneath and ants moving between them.",Pest Control Required
My basil leaves have fine pale stippling and delicate webbing on their undersides; tiny moving specks are visible up close.,Pest Control Required
"Something is chewing irregular holes through my basil leaves, and I found dark droppings plus a small caterpillar nearby.",Pest Control Required
"Several basil leaves contain winding white tunnels, and a tiny larva can be seen inside one of the trails.",Pest Control Required
My tomato wilts by mid-morning and the soil is dry several centimetres down; the container feels unusually light.,Irrigation/Watering Issue
The tomato has limp yellow lower leaves while its soil remains soggy for days and the pot drains very slowly.,Irrigation/Watering Issue
"Leaves on my tomato are crisping at the edges after several hot days, and the drip emitter beside it appears blocked.",Irrigation/Watering Issue
My tomato alternates between drooping and recovering because the raised bed dries out completely between irregular waterings.,Irrigation/Watering Issue
My pepper wilts by mid-morning and the soil is dry several centimetres down; the container feels unusually light.,Irrigation/Watering Issue
The pepper has limp yellow lower leaves while its soil remains soggy for days and the pot drains very slowly.,Irrigation/Watering Issue
"Leaves on my pepper are crisping at the edges after several hot days, and the drip emitter beside it appears blocked.",Irrigation/Watering Issue
My pepper alternates between drooping and recovering because the raised bed dries out completely between irregular waterings.,Irrigation/Watering Issue
My cucumber wilts by mid-morning and the soil is dry several centimetres down; the container feels unusually light.,Irrigation/Watering Issue
The cucumber has limp yellow lower leaves while its soil remains soggy for days and the pot drains very slowly.,Irrigation/Watering Issue
"Leaves on my cucumber are crisping at the edges after several hot days, and the drip emitter beside it appears blocked.",Irrigation/Watering Issue
My cucumber alternates between drooping and recovering because the raised bed dries out completely between irregular waterings.,Irrigation/Watering Issue
My zucchini wilts by mid-morning and the soil is dry several centimetres down; the container feels unusually light.,Irrigation/Watering Issue
The zucchini has limp yellow lower leaves while its soil remains soggy for days and the pot drains very slowly.,Irrigation/Watering Issue
"Leaves on my zucchini are crisping at the edges after several hot days, and the drip emitter beside it appears blocked.",Irrigation/Watering Issue
My zucchini alternates between drooping and recovering because the raised bed dries out completely between irregular waterings.,Irrigation/Watering Issue
My kale wilts by mid-morning and the soil is dry several centimetres down; the container feels unusually light.,Irrigation/Watering Issue
The kale has limp yellow lower leaves while its soil remains soggy for days and the pot drains very slowly.,Irrigation/Watering Issue
"Leaves on my kale are crisping at the edges after several hot days, and the drip emitter beside it appears blocked.",Irrigation/Watering Issue
My kale alternates between drooping and recovering because the raised bed dries out completely between irregular waterings.,Irrigation/Watering Issue
My spinach wilts by mid-morning and the soil is dry several centimetres down; the container feels unusually light.,Irrigation/Watering Issue
The spinach has limp yellow lower leaves while its soil remains soggy for days and the pot drains very slowly.,Irrigation/Watering Issue
"Leaves on my spinach are crisping at the edges after several hot days, and the drip emitter beside it appears blocked.",Irrigation/Watering Issue
My spinach alternates between drooping and recovering because the raised bed dries out completely between irregular waterings.,Irrigation/Watering Issue
My lettuce wilts by mid-morning and the soil is dry several centimetres down; the container feels unusually light.,Irrigation/Watering Issue
The lettuce has limp yellow lower leaves while its soil remains soggy for days and the pot drains very slowly.,Irrigation/Watering Issue
"Leaves on my lettuce are crisping at the edges after several hot days, and the drip emitter beside it appears blocked.",Irrigation/Watering Issue
My lettuce alternates between drooping and recovering because the raised bed dries out completely between irregular waterings.,Irrigation/Watering Issue
My bean wilts by mid-morning and the soil is dry several centimetres down; the container feels unusually light.,Irrigation/Watering Issue
The bean has limp yellow lower leaves while its soil remains soggy for days and the pot drains very slowly.,Irrigation/Watering Issue
"Leaves on my bean are crisping at the edges after several hot days, and the drip emitter beside it appears blocked.",Irrigation/Watering Issue
My bean alternates between drooping and recovering because the raised bed dries out completely between irregular waterings.,Irrigation/Watering Issue
My strawberry wilts by mid-morning and the soil is dry several centimetres down; the container feels unusually light.,Irrigation/Watering Issue
The strawberry has limp yellow lower leaves while its soil remains soggy for days and the pot drains very slowly.,Irrigation/Watering Issue
"Leaves on my strawberry are crisping at the edges after several hot days, and the drip emitter beside it appears blocked.",Irrigation/Watering Issue
My strawberry alternates between drooping and recovering because the raised bed dries out completely between irregular waterings.,Irrigation/Watering Issue
My herb planter wilts by mid-morning and the soil is dry several centimetres down; the container feels unusually light.,Irrigation/Watering Issue
The herb planter has limp yellow lower leaves while its soil remains soggy for days and the pot drains very slowly.,Irrigation/Watering Issue
"Leaves on my herb planter are crisping at the edges after several hot days, and the drip emitter beside it appears blocked.",Irrigation/Watering Issue
My herb planter alternates between drooping and recovering because the raised bed dries out completely between irregular waterings.,Irrigation/Watering Issue
A white powdery coating is spreading across my tomato leaves; it returns after wiping and nearby leaves are starting to curl.,Fungal/Disease Treatment
"My tomato has expanding brown leaf spots with yellow halos, and the damaged leaves are dropping after recent humid weather.",Fungal/Disease Treatment
"The base of my tomato stem is dark and soft, roots look brown, and the plant is collapsing even though the soil is wet.",Fungal/Disease Treatment
Water-soaked patches on my tomato are turning dark and spreading quickly from lower leaves after several cool rainy nights.,Fungal/Disease Treatment
A white powdery coating is spreading across my pepper leaves; it returns after wiping and nearby leaves are starting to curl.,Fungal/Disease Treatment
"My pepper has expanding brown leaf spots with yellow halos, and the damaged leaves are dropping after recent humid weather.",Fungal/Disease Treatment
"The base of my pepper stem is dark and soft, roots look brown, and the plant is collapsing even though the soil is wet.",Fungal/Disease Treatment
Water-soaked patches on my pepper are turning dark and spreading quickly from lower leaves after several cool rainy nights.,Fungal/Disease Treatment
A white powdery coating is spreading across my cucumber leaves; it returns after wiping and nearby leaves are starting to curl.,Fungal/Disease Treatment
"My cucumber has expanding brown leaf spots with yellow halos, and the damaged leaves are dropping after recent humid weather.",Fungal/Disease Treatment
"The base of my cucumber stem is dark and soft, roots look brown, and the plant is collapsing even though the soil is wet.",Fungal/Disease Treatment
Water-soaked patches on my cucumber are turning dark and spreading quickly from lower leaves after several cool rainy nights.,Fungal/Disease Treatment
A white powdery coating is spreading across my zucchini leaves; it returns after wiping and nearby leaves are starting to curl.,Fungal/Disease Treatment
"My zucchini has expanding brown leaf spots with yellow halos, and the damaged leaves are dropping after recent humid weather.",Fungal/Disease Treatment
"The base of my zucchini stem is dark and soft, roots look brown, and the plant is collapsing even though the soil is wet.",Fungal/Disease Treatment
Water-soaked patches on my zucchini are turning dark and spreading quickly from lower leaves after several cool rainy nights.,Fungal/Disease Treatment
A white powdery coating is spreading across my kale leaves; it returns after wiping and nearby leaves are starting to curl.,Fungal/Disease Treatment
"My kale has expanding brown leaf spots with yellow halos, and the damaged leaves are dropping after recent humid weather.",Fungal/Disease Treatment
"The base of my kale stem is dark and soft, roots look brown, and the plant is collapsing even though the soil is wet.",Fungal/Disease Treatment
Water-soaked patches on my kale are turning dark and spreading quickly from lower leaves after several cool rainy nights.,Fungal/Disease Treatment
A white powdery coating is spreading across my spinach leaves; it returns after wiping and nearby leaves are starting to curl.,Fungal/Disease Treatment
"My spinach has expanding brown leaf spots with yellow halos, and the damaged leaves are dropping after recent humid weather.",Fungal/Disease Treatment
"The base of my spinach stem is dark and soft, roots look brown, and the plant is collapsing even though the soil is wet.",Fungal/Disease Treatment
Water-soaked patches on my spinach are turning dark and spreading quickly from lower leaves after several cool rainy nights.,Fungal/Disease Treatment
A white powdery coating is spreading across my lettuce leaves; it returns after wiping and nearby leaves are starting to curl.,Fungal/Disease Treatment
"My lettuce has expanding brown leaf spots with yellow halos, and the damaged leaves are dropping after recent humid weather.",Fungal/Disease Treatment
"The base of my lettuce stem is dark and soft, roots look brown, and the plant is collapsing even though the soil is wet.",Fungal/Disease Treatment
Water-soaked patches on my lettuce are turning dark and spreading quickly from lower leaves after several cool rainy nights.,Fungal/Disease Treatment
A white powdery coating is spreading across my bean leaves; it returns after wiping and nearby leaves are starting to curl.,Fungal/Disease Treatment
"My bean has expanding brown leaf spots with yellow halos, and the damaged leaves are dropping after recent humid weather.",Fungal/Disease Treatment
"The base of my bean stem is dark and soft, roots look brown, and the plant is collapsing even though the soil is wet.",Fungal/Disease Treatment
Water-soaked patches on my bean are turning dark and spreading quickly from lower leaves after several cool rainy nights.,Fungal/Disease Treatment
A white powdery coating is spreading across my strawberry leaves; it returns after wiping and nearby leaves are starting to curl.,Fungal/Disease Treatment
"My strawberry has expanding brown leaf spots with yellow halos, and the damaged leaves are dropping after recent humid weather.",Fungal/Disease Treatment
"The base of my strawberry stem is dark and soft, roots look brown, and the plant is collapsing even though the soil is wet.",Fungal/Disease Treatment
Water-soaked patches on my strawberry are turning dark and spreading quickly from lower leaves after several cool rainy nights.,Fungal/Disease Treatment
A white powdery coating is spreading across my basil leaves; it returns after wiping and nearby leaves are starting to curl.,Fungal/Disease Treatment
"My basil has expanding brown leaf spots with yellow halos, and the damaged leaves are dropping after recent humid weather.",Fungal/Disease Treatment
"The base of my basil stem is dark and soft, roots look brown, and the plant is collapsing even though the soil is wet.",Fungal/Disease Treatment
Water-soaked patches on my basil are turning dark and spreading quickly from lower leaves after several cool rainy nights.,Fungal/Disease Treatment
