metric_id,product_id,month,active_customers,eligible_customers,transaction_count,transaction_value,revenue,operating_cost,currency
MET-0031,PRD-002,2024-08-01,1588,8642,10566,2969788.25,65602.00,44921.60,USD
MET-0032,PRD-002,2024-09-01,1809,8783,12012,3070177.86,68480.23,46248.80,USD
MET-0033,PRD-002,2024-10-01,1981,8923,13640,3224193.30,71201.66,47419.20,USD
MET-0034,PRD-002,2024-11-01,2231,9064,15376,3332687.84,74172.69,48839.20,USD
MET-0035,PRD-002,2024-12-01,2377,9204,16260,3418013.18,76810.92,49926.40,USD
MET-0036,PRD-002,2025-01-01,2654,9344,17617,3651462.27,79868.35,51432.80,USD
MET-0037,PRD-002,2025-02-01,2756,9485,18412,3780105.41,82365.78,52379.20,USD
MET-0038,PRD-002,2025-03-01,3022,9625,20720,3843734.83,85388.01,53850.40,USD
MET-0039,PRD-002,2025-04-01,3263,9766,22380,4026640.67,88330.24,55241.60,USD
MET-0040,PRD-002,2025-05-01,3504,9906,24012,4099833.66,91272.47,56632.80,USD
MET-0041,PRD-002,2025-06-01,3694,10046,25820,4179732.43,94051.50,57860.80,USD
MET-0042,PRD-002,2025-07-01,3918,10187,26421,4441271.19,96939.33,59197.60,USD
MET-0043,PRD-002,2025-08-01,3989,10327,27409,4530238.57,99337.56,60044.80,USD
MET-0044,PRD-002,2025-09-01,4408,10468,30028,4594476.42,102849.39,62005.60,USD
MET-0045,PRD-002,2025-10-01,4558,10608,30956,4686818.60,105500.42,63105.60,USD
MET-0046,PRD-002,2025-11-01,4816,10748,32342,4917533.89,108497.05,64551.20,USD
MET-0047,PRD-002,2025-12-01,4920,10889,32872,5000914.65,111000.88,65504.00,USD
MET-0048,PRD-003,2024-04-01,509,9450,3823,2927211.31,59538.38,40498.80,USD
MET-0049,PRD-003,2024-05-01,798,9620,6093,3135655.07,63939.11,42043.60,USD
MET-0050,PRD-003,2024-06-01,1058,9790,8192,3317494.80,68247.05,43495.60,USD
MET-0051,PRD-003,2024-07-01,1287,9960,9958,3497204.61,72455.79,44848.40,USD
MET-0052,PRD-003,2024-08-01,1554,10130,11986,3661807.66,76786.12,46322.80,USD
MET-0053,PRD-003,2024-09-01,1780,10300,13952,3970482.23,80985.26,47666.00,USD
MET-0054,PRD-003,2024-10-01,2090,10471,15883,4188701.69,85453.20,49278.00,USD
MET-0055,PRD-003,2024-11-01,2293,10641,17486,4323420.76,89578.73,50547.60,USD
MET-0056,PRD-003,2024-12-01,2641,10811,20502,4485236.98,94168.27,52281.20,USD
MET-0057,PRD-003,2025-01-01,2847,10981,21409,4810213.49,98303.41,53560.40,USD
MET-0058,PRD-003,2025-02-01,3057,11151,23194,5042804.27,102451.34,54852.40,USD
MET-0059,PRD-003,2025-03-01,3341,11321,25002,5181123.29,106836.08,56381.20,USD
MET-0060,PRD-003,2025-04-01,3583,11491,26910,5341775.22,111086.42,57775.60,USD
MET-0061,PRD-003,2025-05-01,3924,11661,30536,5656317.79,115653.55,59486.80,USD
MET-0062,PRD-003,2025-06-01,4230,11831,31986,5809606.70,120108.69,61086.00,USD
MET-0063,PRD-003,2025-07-01,4356,12002,33074,5917020.31,123987.83,62109.20,USD
MET-0064,PRD-003,2025-08-01,4728,12172,35762,6216875.26,128654.16,63919.60,USD
MET-0065,PRD-003,2025-09-01,4961,12342,38564,6319166.71,132875.70,65285.20,USD
MET-0066,PRD-003,2025-10-01,5198,12512,39264,6565565.45,137110.04,66663.60,USD
MET-0067,PRD-003,2025-11-01,5662,12682,43118,6993879.06,142070.77,68768.40,USD
MET-0068,PRD-003,2025-12-01,5797,12852,43582,7198432.49,145978.71,69820.40,USD
MET-0069,PRD-004,2024-06-01,527,11100,4425,2803935.34,54963.99,43306.40,USD
MET-0070,PRD-004,2024-07-01,778,11300,6805,3010072.17,58330.12,44729.60,USD
MET-0071,PRD-004,2024-08-01,1028,11500,9105,3244733.78,61693.05,46149.60,USD
MET-0072,PRD-004,2024-09-01,1254,11699,11058,3337614.77,64979.18,47492.80,USD
MET-0073,PRD-004,2024-10-01,1482,11899,12421,3609358.95,68271.71,48842.40,USD
MET-0074,PRD-004,2024-11-01,1752,12099,15503,3687749.14,71698.64,50326.40,USD
MET-0075,PRD-004,2024-12-01,2000,12299,17576,3916593.76,75055.17,51740.00,USD
MET-0076,PRD-004,2025-01-01,2181,12499,18504,4051708.22,78197.30,52939.20,USD
MET-0077,PRD-004,2025-02-01,2474,12698,20938,4303820.57,81697.84,54496.80,USD
MET-0078,PRD-004,2025-03-01,2695,12898,23033,4401655.28,84967.97,55824.00,USD
MET-0079,PRD-004,2025-04-01,2966,13098,25117,4532520.41,88398.10,57311.20,USD
MET-0080,PRD-004,2025-05-01,3123,13298,26818,4797939.03,91463.43,58433.60,USD
MET-0081,PRD-004,2025-06-01,3398,13498,29200,4954975.49,94906.36,59933.60,USD
MET-0082,PRD-004,2025-07-01,3767,13697,31491,5068586.31,98650.09,61734.40,USD
MET-0083,PRD-004,2025-08-01,3944,13897,34311,5343235.97,101779.42,62920.80,USD
MET-0084,PRD-004,2025-09-01,4172,14097,36277,5451752.26,105071.95,64270.40,USD
MET-0085,PRD-004,2025-10-01,4438,14297,38439,5648443.19,108486.08,65741.60,USD
MET-0086,PRD-004,2025-11-01,4638,14497,39116,5769320.34,111689.02,67001.60,USD
MET-0087,PRD-004,2025-12-01,5070,14696,43520,6068781.33,115634.35,69004.00,USD
MET-0088,PRD-005,2024-08-01,408,12750,3967,2742651.48,50047.35,45675.60,USD
MET-0089,PRD-005,2024-09-01,543,12980,5062,2836657.43,51216.45,46727.60,USD
MET-0090,PRD-005,2024-10-01,677,13209,6607,2860702.33,52382.35,47776.40,USD
MET-0091,PRD-005,2024-11-01,823,13438,7993,2995182.79,53586.65,48863.60,USD
MET-0092,PRD-005,2024-12-01,976,13668,9043,3050372.67,54813.35,49973.20,USD
MET-0093,PRD-005,2025-01-01,1074,13898,10038,3077842.21,55864.05,50906.80,USD
MET-0094,PRD-005,2025-02-01,1229,14127,11898,3197301.54,57097.15,52022.80,USD
MET-0095,PRD-005,2025-03-01,1329,14356,12846,3264597.87,58154.25,52962.80,USD
MET-0096,PRD-005,2025-04-01,1460,14586,14048,3241279.46,59310.55,54002.00,USD
MET-0097,PRD-005,2025-05-01,1639,14815,15616,3425267.54,60620.46,55194.80,USD
MET-0098,PRD-005,2025-06-01,1794,15045,16689,3461807.15,61853.56,56310.80,USD
MET-0099,PRD-005,2025-07-01,1895,15274,17810,3483687.79,62913.86,57254.00,USD
MET-0100,PRD-005,2025-08-01,1997,15504,18657,3513338.69,63977.36,58200.40,USD
MET-0101,PRD-005,2025-09-01,2190,15734,20639,3568882.64,65332.06,59438.00,USD
MET-0102,PRD-005,2025-10-01,2364,15963,22472,3657789.02,66625.96,60614.80,USD
MET-0103,PRD-005,2025-11-01,2527,16192,23605,3841746.75,67884.66,61756.40,USD
MET-0104,PRD-005,2025-12-01,2594,16422,25314,3841635.72,68836.16,62590.80,USD
MET-0105,PRD-006,2025-01-01,1080,14400,11332,4908836.34,84134.69,50576.00,USD
MET-0106,PRD-006,2025-02-01,1792,14659,18376,5717582.31,96185.46,53474.40,USD
MET-0107,PRD-006,2025-03-01,2339,14918,23750,6421107.15,107708.23,55844.80,USD
MET-0108,PRD-006,2025-04-01,2938,15178,30279,6957015.39,119397.40,58381.60,USD
MET-0109,PRD-006,2025-05-01,3632,15437,37022,7819174.68,131390.57,61222.40,USD
MET-0110,PRD-006,2025-06-01,4198,15696,42988,8296528.18,142974.14,63653.60,USD
MET-0111,PRD-006,2025-07-01,4912,15955,52492,9048823.13,155031.31,66558.40,USD
MET-0112,PRD-006,2025-08-01,5423,16214,56529,9819857.14,166438.88,68813.60,USD
MET-0113,PRD-006,2025-09-01,5907,16474,62262,10292604.42,177760.05,70982.40,USD
MET-0114,PRD-006,2025-10-01,6710,16733,69114,11296684.12,190102.02,74172.00,USD
MET-0115,PRD-006,2025-11-01,7268,16992,75651,12037168.70,201659.98,76577.60,USD
MET-0116,PRD-006,2025-12-01,7810,17251,81959,12657644.51,213166.75,78932.00,USD
MET-0117,PRD-007,2025-03-01,1084,16050,12389,5124252.78,81172.32,53338.80,USD
MET-0118,PRD-007,2025-04-01,1660,16339,19069,5864680.57,92913.36,55802.00,USD
MET-0119,PRD-007,2025-05-01,2323,16628,26067,6475517.43,104932.79,58543.60,USD
MET-0120,PRD-007,2025-06-01,2859,16917,32316,7399568.80,116545.83,60878.80,USD
MET-0121,PRD-007,2025-07-01,3400,17206,38658,8099503.08,128174.87,63230.00,USD
MET-0122,PRD-007,2025-08-01,3933,17494,43904,8875694.77,139778.31,65555.60,USD
MET-0123,PRD-007,2025-09-01,4508,17783,49844,9562674.62,151516.15,68015.60,USD
MET-0124,PRD-007,2025-10-01,5223,18072,60532,10237061.98,163701.99,70923.60,USD
MET-0125,PRD-007,2025-11-01,5698,18361,66146,11077864.32,175119.83,73063.60,USD
MET-0126,PRD-007,2025-12-01,6248,18650,72544,11651350.32,186777.67,75443.60,USD
MET-0127,PRD-008,2025-06-01,716,17700,8676,4939938.14,76034.12,61500.54,USD
MET-0128,PRD-008,2025-07-01,1037,18019,12451,4995079.05,74514.73,63345.41,USD
MET-0129,PRD-008,2025-08-01,1334,18337,16640,4866308.59,72909.32,65104.26,USD
MET-0130,PRD-008,2025-09-01,1686,18656,20355,4752087.66,71501.04,67060.22,USD
MET-0131,PRD-008,2025-10-01,1975,18974,23448,4673335.29,69866.96,68790.40,USD
MET-0132,PRD-008,2025-11-01,2300,19293,27791,4460448.11,68361.91,70649.60,USD
MET-0133,PRD-008,2025-12-01,2539,19612,31836,4360896.37,66548.63,72200.58,USD
MET-0134,PRD-009,2025-11-01,740,19350,9405,5276616.77,75707.94,57738.00,USD
MET-0135,PRD-009,2025-12-01,1106,19698,14805,5943175.26,86484.11,59529.20,USD
MET-0136,PRD-010,2025-12-01,1157,21000,16237,5733491.19,79695.83,61822.40,USD
