allocation_id,project_id,role,estimated_person_days,actual_person_days,fictional_daily_rate,currency
RAL-0037,PRJ-005,Solution Architect,18.90,22.70,1400.00,USD
RAL-0038,PRJ-005,Data Engineer,52.30,64.00,975.00,USD
RAL-0039,PRJ-005,Security Engineer,26.20,32.70,1100.00,USD
RAL-0040,PRJ-006,Backend Engineer,52.00,51.70,900.00,USD
RAL-0041,PRJ-006,QA Engineer,49.70,52.10,700.00,USD
RAL-0042,PRJ-006,DevOps Engineer,19.70,20.10,950.00,USD
RAL-0043,PRJ-006,Technical Lead,25.70,25.80,1150.00,USD
RAL-0044,PRJ-006,Engineering Lead,19.40,20.40,1300.00,USD
RAL-0045,PRJ-006,Solution Architect,9.20,9.60,1400.00,USD
RAL-0046,PRJ-006,Frontend Engineer,77.10,77.30,850.00,USD
RAL-0047,PRJ-006,Product Designer,21.70,22.90,750.00,USD
RAL-0048,PRJ-006,Security Engineer,17.10,17.40,1100.00,USD
RAL-0049,PRJ-007,Backend Engineer,73.60,96.50,900.00,USD
RAL-0050,PRJ-007,QA Engineer,39.50,48.60,700.00,USD
RAL-0051,PRJ-007,DevOps Engineer,23.30,29.80,950.00,USD
RAL-0052,PRJ-007,Technical Lead,12.30,15.00,1150.00,USD
RAL-0053,PRJ-007,Engineering Lead,17.50,22.80,1300.00,USD
RAL-0054,PRJ-007,Solution Architect,12.90,15.80,1400.00,USD
RAL-0055,PRJ-007,Security Engineer,28.80,35.80,1100.00,USD
RAL-0056,PRJ-008,Backend Engineer,80.90,71.50,900.00,USD
RAL-0057,PRJ-008,QA Engineer,60.30,52.90,700.00,USD
RAL-0058,PRJ-008,DevOps Engineer,23.50,21.60,950.00,USD
RAL-0059,PRJ-008,Technical Lead,26.40,23.60,1150.00,USD
RAL-0060,PRJ-008,Engineering Lead,13.00,11.60,1300.00,USD
RAL-0061,PRJ-008,Solution Architect,11.30,9.70,1400.00,USD
RAL-0062,PRJ-008,Data Engineer,63.80,55.40,975.00,USD
RAL-0063,PRJ-009,Backend Engineer,87.90,78.20,900.00,USD
RAL-0064,PRJ-009,QA Engineer,30.30,25.80,700.00,USD
RAL-0065,PRJ-009,DevOps Engineer,29.80,25.10,950.00,USD
RAL-0066,PRJ-009,Technical Lead,16.30,14.20,1150.00,USD
RAL-0067,PRJ-009,Engineering Lead,19.30,16.80,1300.00,USD
RAL-0068,PRJ-009,Solution Architect,15.40,13.20,1400.00,USD
RAL-0069,PRJ-009,Frontend Engineer,75.90,66.40,850.00,USD
RAL-0070,PRJ-009,Product Designer,28.10,23.90,750.00,USD
RAL-0071,PRJ-010,Backend Engineer,58.20,76.00,900.00,USD
RAL-0072,PRJ-010,QA Engineer,28.00,36.20,700.00,USD
RAL-0073,PRJ-010,DevOps Engineer,30.90,38.90,950.00,USD
RAL-0074,PRJ-010,Technical Lead,20.00,27.00,1150.00,USD
RAL-0075,PRJ-010,Engineering Lead,17.40,22.10,1300.00,USD
RAL-0076,PRJ-010,Solution Architect,19.20,25.10,1400.00,USD
RAL-0077,PRJ-010,Frontend Engineer,69.30,93.50,850.00,USD
RAL-0078,PRJ-010,Product Designer,17.50,23.50,750.00,USD
RAL-0079,PRJ-010,Security Engineer,18.90,24.90,1100.00,USD
RAL-0080,PRJ-011,Backend Engineer,57.00,56.80,900.00,USD
RAL-0081,PRJ-011,QA Engineer,31.60,31.90,700.00,USD
RAL-0082,PRJ-011,DevOps Engineer,36.20,36.10,950.00,USD
RAL-0083,PRJ-011,Technical Lead,24.80,25.70,1150.00,USD
RAL-0084,PRJ-011,Engineering Lead,19.20,19.40,1300.00,USD
RAL-0085,PRJ-011,Solution Architect,15.40,14.90,1400.00,USD
RAL-0086,PRJ-011,Data Engineer,66.10,64.30,975.00,USD
RAL-0087,PRJ-012,Backend Engineer,85.60,99.60,900.00,USD
RAL-0088,PRJ-012,QA Engineer,32.70,37.80,700.00,USD
RAL-0089,PRJ-012,DevOps Engineer,34.10,39.10,950.00,USD
RAL-0090,PRJ-012,Technical Lead,19.50,23.00,1150.00,USD
RAL-0091,PRJ-012,Engineering Lead,16.60,19.50,1300.00,USD
RAL-0092,PRJ-012,Solution Architect,17.20,20.10,1400.00,USD
RAL-0093,PRJ-012,Security Engineer,19.90,23.80,1100.00,USD
RAL-0094,PRJ-013,Backend Engineer,83.90,73.20,900.00,USD
RAL-0095,PRJ-013,QA Engineer,43.90,39.00,700.00,USD
RAL-0096,PRJ-013,DevOps Engineer,26.60,24.00,950.00,USD
RAL-0097,PRJ-013,Technical Lead,26.50,23.30,1150.00,USD
RAL-0098,PRJ-013,Engineering Lead,10.40,9.50,1300.00,USD
RAL-0099,PRJ-013,Solution Architect,16.40,15.40,1400.00,USD
RAL-0100,PRJ-013,Frontend Engineer,34.20,29.90,850.00,USD
RAL-0101,PRJ-013,Product Designer,32.60,30.20,750.00,USD
RAL-0102,PRJ-014,Backend Engineer,65.50,77.50,900.00,USD
RAL-0103,PRJ-014,QA Engineer,38.20,45.60,700.00,USD
RAL-0104,PRJ-014,DevOps Engineer,17.60,20.30,950.00,USD
RAL-0105,PRJ-014,Technical Lead,19.00,22.20,1150.00,USD
RAL-0106,PRJ-014,Engineering Lead,19.50,22.90,1300.00,USD
RAL-0107,PRJ-014,Solution Architect,20.00,24.80,1400.00,USD
RAL-0108,PRJ-014,Frontend Engineer,57.90,70.60,850.00,USD
RAL-0109,PRJ-014,Product Designer,16.40,19.90,750.00,USD
RAL-0110,PRJ-014,Security Engineer,21.10,24.50,1100.00,USD
RAL-0111,PRJ-015,Backend Engineer,96.50,88.50,900.00,USD
RAL-0112,PRJ-015,QA Engineer,45.50,39.00,700.00,USD
RAL-0113,PRJ-015,DevOps Engineer,21.70,19.10,950.00,USD
RAL-0114,PRJ-015,Technical Lead,26.80,23.80,1150.00,USD
RAL-0115,PRJ-015,Engineering Lead,20.80,17.90,1300.00,USD
RAL-0116,PRJ-015,Solution Architect,14.30,12.30,1400.00,USD
RAL-0117,PRJ-015,Data Engineer,66.40,58.00,975.00,USD
RAL-0118,PRJ-015,Security Engineer,22.90,20.30,1100.00,USD
RAL-0119,PRJ-016,Backend Engineer,82.40,80.20,900.00,USD
RAL-0120,PRJ-016,QA Engineer,50.80,50.20,700.00,USD
RAL-0121,PRJ-016,DevOps Engineer,31.40,31.90,950.00,USD
RAL-0122,PRJ-016,Technical Lead,21.40,20.80,1150.00,USD
RAL-0123,PRJ-016,Engineering Lead,14.80,15.00,1300.00,USD
RAL-0124,PRJ-016,Solution Architect,17.50,18.00,1400.00,USD
RAL-0125,PRJ-016,Data Engineer,70.30,70.60,975.00,USD
RAL-0126,PRJ-016,Security Engineer,28.60,28.80,1100.00,USD
RAL-0127,PRJ-017,Backend Engineer,85.60,76.60,900.00,USD
RAL-0128,PRJ-017,QA Engineer,43.70,36.90,700.00,USD
RAL-0129,PRJ-017,DevOps Engineer,28.60,25.40,950.00,USD
RAL-0130,PRJ-017,Technical Lead,25.70,21.90,1150.00,USD
RAL-0131,PRJ-017,Engineering Lead,11.20,9.50,1300.00,USD
RAL-0132,PRJ-017,Solution Architect,12.50,11.10,1400.00,USD
RAL-0133,PRJ-017,Frontend Engineer,36.00,32.20,850.00,USD
RAL-0134,PRJ-017,Product Designer,17.50,14.90,750.00,USD
RAL-0135,PRJ-018,Backend Engineer,64.70,44.60,900.00,USD
RAL-0136,PRJ-018,QA Engineer,36.80,27.20,700.00,USD
RAL-0137,PRJ-018,DevOps Engineer,32.50,23.30,950.00,USD
RAL-0138,PRJ-018,Technical Lead,15.50,11.00,1150.00,USD
RAL-0139,PRJ-018,Engineering Lead,21.40,15.20,1300.00,USD
RAL-0140,PRJ-018,Solution Architect,16.50,11.90,1400.00,USD
RAL-0141,PRJ-018,Security Engineer,19.60,13.60,1100.00,USD
RAL-0142,PRJ-019,Backend Engineer,66.20,46.20,900.00,USD
RAL-0143,PRJ-019,QA Engineer,35.20,25.20,700.00,USD
RAL-0144,PRJ-019,DevOps Engineer,24.70,17.60,950.00,USD
RAL-0145,PRJ-019,Technical Lead,24.90,17.70,1150.00,USD
RAL-0146,PRJ-019,Engineering Lead,11.30,7.90,1300.00,USD
RAL-0147,PRJ-019,Solution Architect,19.70,14.10,1400.00,USD
RAL-0148,PRJ-019,Data Engineer,80.90,57.20,975.00,USD
RAL-0149,PRJ-020,Backend Engineer,76.60,0.00,900.00,USD
RAL-0150,PRJ-020,QA Engineer,32.70,0.00,700.00,USD
RAL-0151,PRJ-020,DevOps Engineer,18.90,0.00,950.00,USD
RAL-0152,PRJ-020,Technical Lead,20.40,0.00,1150.00,USD
RAL-0153,PRJ-020,Engineering Lead,22.90,0.00,1300.00,USD
RAL-0154,PRJ-020,Solution Architect,15.80,0.00,1400.00,USD
RAL-0155,PRJ-020,Data Engineer,63.70,0.00,975.00,USD
RAL-0156,PRJ-020,Security Engineer,24.90,0.00,1100.00,USD
RAL-0157,PRJ-021,Backend Engineer,73.10,23.30,900.00,USD
RAL-0158,PRJ-021,QA Engineer,51.90,16.20,700.00,USD
RAL-0159,PRJ-021,DevOps Engineer,23.00,7.60,950.00,USD
RAL-0160,PRJ-021,Technical Lead,18.60,6.20,1150.00,USD
RAL-0161,PRJ-021,Engineering Lead,18.80,6.30,1300.00,USD
RAL-0162,PRJ-021,Solution Architect,17.20,5.70,1400.00,USD
RAL-0163,PRJ-021,Frontend Engineer,68.60,22.90,850.00,USD
RAL-0164,PRJ-021,Product Designer,19.10,6.30,750.00,USD
RAL-0165,PRJ-022,Backend Engineer,59.30,51.00,900.00,USD
RAL-0166,PRJ-022,QA Engineer,56.50,52.40,700.00,USD
RAL-0167,PRJ-022,DevOps Engineer,17.90,15.70,950.00,USD
RAL-0168,PRJ-022,Technical Lead,17.20,15.60,1150.00,USD
RAL-0169,PRJ-022,Engineering Lead,17.30,15.70,1300.00,USD
RAL-0170,PRJ-022,Solution Architect,16.90,15.10,1400.00,USD
RAL-0171,PRJ-022,Data Engineer,65.10,59.20,975.00,USD
RAL-0172,PRJ-023,Backend Engineer,57.80,55.70,900.00,USD
RAL-0173,PRJ-023,QA Engineer,30.40,28.30,700.00,USD
RAL-0174,PRJ-023,DevOps Engineer,18.60,17.60,950.00,USD
RAL-0175,PRJ-023,Technical Lead,22.80,21.20,1150.00,USD
RAL-0176,PRJ-023,Engineering Lead,23.30,22.00,1300.00,USD
RAL-0177,PRJ-023,Solution Architect,17.10,15.80,1400.00,USD
RAL-0178,PRJ-023,Frontend Engineer,51.70,47.60,850.00,USD
RAL-0179,PRJ-023,Product Designer,27.50,26.40,750.00,USD
RAL-0180,PRJ-023,Security Engineer,22.90,21.40,1100.00,USD
RAL-0181,PRJ-024,Backend Engineer,72.40,90.80,900.00,USD
RAL-0182,PRJ-024,QA Engineer,45.60,57.10,700.00,USD
RAL-0183,PRJ-024,DevOps Engineer,19.60,25.80,950.00,USD
RAL-0184,PRJ-024,Technical Lead,19.50,24.90,1150.00,USD
RAL-0185,PRJ-024,Engineering Lead,22.10,28.40,1300.00,USD
RAL-0186,PRJ-024,Solution Architect,10.30,13.10,1400.00,USD
RAL-0187,PRJ-024,Security Engineer,15.60,20.20,1100.00,USD
